Reader,Case number,Modality (Color scale),Confidence score
High2,57,Rainbow,100
High2,58,Rainbow,10
High2,59,Rainbow,100
High2,60,Rainbow,100
High2,61,Rainbow,60
High2,62,Rainbow,0
High2,63,Rainbow,0
High2,64,Rainbow,10
High2,65,Rainbow,60
High2,66,Rainbow,100
High2,67,Rainbow,100
High2,68,Rainbow,100
High2,69,Rainbow,90
High2,70,Rainbow,0
High2,71,Rainbow,90
High2,72,Rainbow,100
High2,73,Rainbow,75
High2,74,Rainbow,10
High2,75,Rainbow,10
High2,76,Rainbow,90
High2,77,Rainbow,100
High2,78,Rainbow,0
High2,79,Rainbow,10
High2,80,Rainbow,10
High2,81,Rainbow,0
High2,82,Rainbow,0
High2,83,Rainbow,0
High2,84,Rainbow,20
High2,85,Rainbow,0
High2,86,Rainbow,60
High2,87,Rainbow,0
High2,88,Rainbow,20
High2,89,Rainbow,70
High2,90,Rainbow,0
High2,91,Rainbow,10
High2,92,Rainbow,70
High2,93,Rainbow,0
High2,94,Rainbow,0
High2,95,Rainbow,0
High2,96,Rainbow,0
High2,97,Rainbow,90
High2,98,Rainbow,0
High2,99,Rainbow,0
High2,100,Rainbow,0
High2,101,Rainbow,10
High2,102,Rainbow,0
High2,103,Rainbow,0
High2,104,Rainbow,0
High2,105,Rainbow,10
High2,106,Rainbow,0
High2,107,Rainbow,0
High2,108,Rainbow,0
High2,109,Rainbow,90
High2,110,Rainbow,30
Med2,56,Grayscale,85
Med2,57,Grayscale,95
Med2,58,Grayscale,65
Med2,59,Grayscale,95
Med2,60,Grayscale,65
Med2,61,Grayscale,65
Med2,62,Grayscale,65
Med2,63,Grayscale,45
Med2,64,Grayscale,55
Med2,65,Grayscale,45
Med2,66,Grayscale,75
Med2,67,Grayscale,95
Med2,68,Grayscale,95
Med2,69,Grayscale,75
Med2,70,Grayscale,55
Med2,71,Grayscale,75
Med2,72,Grayscale,85
Med2,73,Grayscale,65
Med2,74,Grayscale,85
Med2,75,Grayscale,55
Med2,76,Grayscale,65
Med2,77,Grayscale,85
Med2,78,Grayscale,75
Med2,79,Grayscale,45
Med2,80,Grayscale,35
Med2,81,Grayscale,45
Med2,82,Grayscale,55
Med2,83,Grayscale,55
Med2,84,Grayscale,25
Med2,85,Grayscale,45
Med2,86,Grayscale,25
Med2,87,Grayscale,75
Med2,88,Grayscale,55
Med2,89,Grayscale,65
Med2,90,Grayscale,65
Med2,91,Grayscale,35
Med2,92,Grayscale,75
Med2,93,Grayscale,65
Med2,94,Grayscale,15
Med2,95,Grayscale,45
Med2,96,Grayscale,45
Med2,97,Grayscale,45
Med2,98,Grayscale,35
Med2,99,Grayscale,45
Med2,100,Grayscale,55
Med2,101,Grayscale,55
Med2,102,Grayscale,75
Med2,103,Grayscale,35
Med2,104,Grayscale,75
Med2,105,Grayscale,55
Med2,106,Grayscale,35
Med2,107,Grayscale,55
Med2,108,Grayscale,35
Med2,109,Grayscale,55
Med2,110,Grayscale,45
Med2,56,Hot,85
Med2,57,Hot,65
Med2,58,Hot,55
Med2,59,Hot,85
Med2,60,Hot,75
Med2,61,Hot,65
Med2,62,Hot,45
Med2,63,Hot,45
